num_items,method,fpr_2pow/b,size_bytes,mix_perc,actual_fpr,time_micros,avg_time
1000,bloom,7,184,0.1,0.007,80.6,0.0806
1000,bloom,7,184,0.25,0.009,105.6,0.1056
1000,bloom,7,184,0.5,0.003,93.2,0.0932
1000,bloom,8,184,0.1,0.002,79.3,0.0793
1000,bloom,8,184,0.25,0.007,85.8,0.0858
1000,bloom,8,184,0.5,0.005,165.2,0.1652
1000,bloom,10,184,0.1,0.001,81.2,0.0812
1000,bloom,10,184,0.25,0.001,126.8,0.1268
1000,bloom,10,184,0.5,0.001,173,0.173
1000,mpfh,,32,0.1,0.693,59.6,0.0596
1000,mpfh,,32,0.25,0.615,97.5,0.0975
1000,mpfh,,32,0.5,0.394,73.3,0.0733
1000,mpfh_fpt,7,56,0.1,0.004,153.3,0.1533
1000,mpfh_fpt,7,56,0.25,0.004,212.4,0.2124
1000,mpfh_fpt,7,56,0.5,0.007,161.9,0.1619
1000,mpfh_fpt,8,,0.1,0.002,157.4,0.1574
1000,mpfh_fpt,8,,0.25,0.002,158.4,0.1584
1000,mpfh_fpt,8,,0.5,0.003,162.6,0.1626
1000,mpfh_fpt,10,,0.1,0.002,236.5,0.2365
1000,mpfh_fpt,10,,0.25,0,184.6,0.1846
1000,mpfh_fpt,10,,0.5,0,163.7,0.1637
5000,bloom,7,184,0.1,0.0138,576,0.1152
5000,bloom,7,184,0.25,0.0094,579.5,0.1159
5000,bloom,7,184,0.5,0.0076,719.2,0.14384
5000,bloom,8,184,0.1,0.0096,456.7,0.09134
5000,bloom,8,184,0.25,0.0106,435.5,0.0871
5000,bloom,8,184,0.5,0.0066,484.4,0.09688
5000,bloom,10,184,0.1,0.0006,411,0.0822
5000,bloom,10,184,0.25,0.0004,460,0.092
5000,bloom,10,184,0.5,0.0006,530,0.106
5000,mpfh,,32,0.1,0.8156,297,0.0594
5000,mpfh,,32,0.25,0.6794,283.7,0.05674
5000,mpfh,,32,0.5,0.4492,266.4,0.05328
5000,mpfh_fpt,,56,0.1,0.0064,842.7,0.16854
5000,mpfh_fpt,,56,0.25,0.0056,890.5,0.1781
5000,mpfh_fpt,,56,0.5,0.0038,855,0.171
5000,mpfh_fpt,8,56,0.1,0.0032,858.8,0.17176
5000,mpfh_fpt,8,56,0.25,0.0028,853.5,0.1707
5000,mpfh_fpt,8,56,0.5,0.002,844.6,0.16892
5000,mpfh_fpt,10,56,0.1,0.0012,1134.8,0.22696
5000,mpfh_fpt,10,56,0.25,0.0014,865.1,0.17302
5000,mpfh_fpt,10,56,0.5,0.0006,859.4,0.17188
10000,bloom,7,184,0.1,0.008,859.2,0.08592
10000,bloom,7,184,0.25,0.0051,914.9,0.09149
10000,bloom,7,184,0.5,0.0032,1005.5,0.10055
10000,bloom,8,184,0.1,0.0146,860.9,0.08609
10000,bloom,8,184,0.25,0.0116,928.8,0.09288
10000,bloom,8,184,0.5,0.009,1058.6,0.10586
10000,bloom,10,184,0.1,0.003,874.6,0.08746
10000,bloom,10,184,0.25,0.0016,969.7,0.09697
10000,bloom,10,184,0.5,0.0021,1109.3,0.11093
10000,mpfh,,32,0.1,0.8435,662,0.0662
10000,mpfh,,32,0.25,0.6967,594.2,0.05942
10000,mpfh,,32,0.5,0.4675,1079,0.1079
10000,mpfh_fpt,7,56,0.1,0.0061,2095.9,0.20959
10000,mpfh_fpt,7,56,0.25,0.0046,1816,0.1816
10000,mpfh_fpt,7,56,0.5,0.0023,1761.7,0.17617
10000,mpfh_fpt,8,56,0.1,0.0028,2215.8,0.22158
10000,mpfh_fpt,8,56,0.25,0.0024,1883.1,0.18831
10000,mpfh_fpt,8,56,0.5,0.0008,2078.5,0.20785
10000,mpfh_fpt,10,56,0.1,0.0007,2278.3,0.22783
10000,mpfh_fpt,10,56,0.25,0.0004,1954.3,0.19543
10000,mpfh_fpt,10,56,0.5,0.0003,1781.8,0.17818
50000,bloom,7,184,0.1,0.00696,4825.2,0.096504
50000,bloom,7,184,0.25,0.00556,7320,0.1464
50000,bloom,7,184,0.5,0.00374,5212.3,0.104246
50000,bloom,8,184,0.1,0.00802,4181.6,0.083632
50000,bloom,8,184,0.25,0.00654,4441.8,0.088836
50000,bloom,8,184,0.5,0.00464,4769.2,0.095384
50000,bloom,10,184,0.1,0.0061,4769.2,0.095384
50000,bloom,10,184,0.25,0.00542,4222.2,0.084444
50000,bloom,10,184,0.5,0.00316,5603.5,0.11207
50000,mpfh,,32,0.1,0.87264,3404.8,0.068096
50000,mpfh,,32,0.25,0.72782,3521.9,0.070438
50000,mpfh,,32,0.5,0.4838,3188.5,0.06377
50000,mpfh_fpt,7,56,0.1,0.00694,9494.5,0.18989
50000,mpfh_fpt,7,56,0.25,0.0055,9224.2,0.184484
50000,mpfh_fpt,7,56,0.5,0.00368,9171.3,0.183426
50000,mpfh_fpt,8,56,0.1,0.00336,9865.5,0.19731
50000,mpfh_fpt,8,56,0.25,0.00264,9526.5,0.19053
50000,mpfh_fpt,8,56,0.5,0.00178,1078.8,0.021576
50000,mpfh_fpt,10,56,0.1,0.00094,9657.8,0.193156
50000,mpfh_fpt,10,56,0.25,0.00084,10189.9,0.203798
50000,mpfh_fpt,10,56,0.5,0.00056,10228.3,0.204566
